,label,text,target,word_count,char_count,numerics,upper,bangs,flag_words,links,stp_wrd_cnt,text_corr
49,ham,know stubborn didnt even want hospital kept telling mark weak sucker hospitals weak suckers,0,30,148,0,4,0,0,0,10,know stubborn didnt even want hospital kept telling mark weak sucker hospitals weak suckers
50,ham,thinked first time saw class,0,12,58,0,0,0,0,0,5,thinked first time saw class
51,ham,gram usually runs like half eighth smarter though gets almost whole second gram,0,25,124,0,1,0,0,0,6,gram usually runs like half eighth smarter though gets almost whole second gram
52,ham,k fyi x ride early tomorrow morning hes crashing place tonight,0,16,80,0,1,0,0,0,5,k fyi x ride early tomorrow morning hes crashing place tonight
53,ham,wow never realized embarassed accomodations thought liked since best could always seemed happy cave sorry didnt give sorry offered sorry room embarassing,0,55,289,0,3,0,0,0,26,wow never realized embarassed accomodations thought liked since best could always seemed happy cave sorry didnt give sorry offered sorry room embarassing
54,spam,sms ac sptv new jersey devils detroit red wings play hockey correct incorrect end reply end sptv,1,22,120,0,3,0,0,0,3,sms ac sptv new jersey devils detroit red wings play hockey correct incorrect end reply end sptv
55,ham,know mallika sherawat yesterday find lturlgt,0,14,76,0,0,0,0,0,5,know malli ka she raw at yesterday find lturlgt
56,spam,congrats 1 year special cinema pass 09061209465 c suprman v matrix3 starwars3 etc free bx420ip45we 150pm miss,1,28,161,4,3,4,1,0,3,congrats 1 year special cinema pass 09061209465 c suprman v matrix3 starwars3 etc free bx420ip45we 150pm miss
57,ham,sorry ill later meeting,0,6,34,0,0,0,0,0,1,sorry ill later meeting
58,ham,tell reached,0,4,22,0,0,0,0,0,2,tell reached
59,ham,yesgauti sehwag odi series,0,7,40,0,0,0,0,0,3,yes gauti sehwag odi series
60,ham,gonna p k 1 burger way home cant even move pain killing,0,23,108,0,1,0,0,0,9,gonna p k 1 burger way home cant even move pain killing
61,ham,ha ha ha good joke girls situation seekers,0,9,48,0,0,0,0,0,1,ha ha ha good joke girls situation seekers
62,ham,part checking iq,0,6,25,0,1,0,0,0,2,part checking iq
63,ham,sorry roommates took forever come,0,12,56,0,1,0,0,0,4,sorry roommates took forever come
64,ham,lar double check with da hair dresser already said wun cut v short said cut look n,0,24,110,0,0,0,0,0,5,lar double check with da hair dresser already said wun cut v short said cut look n
65,spam,valued customer pleased advise following recent review mob awarded 1500 bonus prize 09066364589,1,28,152,1,1,0,0,0,11,valued customer pleased advise following recent review mob awarded 1500 bonus prize 09066364589
66,ham,today song ded ated day song ded ate send valuable frnds first rply,0,23,122,0,0,0,0,0,7,today song ded ated day song ded ate send valuable frnds first rply
67,spam,urgent awarded complimentary trip eurodisinc trav acoentry41 1000 claim dis 87121 186150morefrmmob shracomorsglsuplt10 ls1 3aj,1,22,159,1,4,0,1,0,3,urgent awarded complimentary trip eurodisinc trav acoentry41 1000 claim dis 87121 186150morefrmmob shracomorsglsuplt10 ls1 3aj
68,spam,hear new divorce barbie comes kens stuff,1,15,78,0,0,1,0,0,6,hear new divorce barbie comes kens stuff
69,ham,plane give month end,0,8,34,0,1,0,0,0,3,plane give month end
70,ham,wah lucky man save money hee,0,8,46,0,0,0,0,0,1,wah lucky man save money hee
71,ham,finished class,0,5,29,0,0,0,0,0,2,finished class
72,ham,hi babe home wanna something xx,0,10,45,0,10,0,0,0,0,hi babe home wanna something xx
73,ham,kkwhere youhow performed,0,6,42,0,0,0,0,0,3,kkwhere you how performed
74,ham,,0,5,20,0,1,0,0,0,2,
75,ham,waiting machan free,0,9,43,0,1,0,1,0,4,waiting machan free
76,ham,thats cool gentleman treat dignity respect,0,14,73,0,0,0,0,0,8,thats cool gentleman treat dignity respect
77,ham,like peoples much shy pa,0,11,50,0,1,0,0,0,5,like peoples much shy pa
78,ham,operate,0,9,42,0,0,0,0,0,4,operate
79,ham,still looking job much tas earn,0,16,76,0,0,0,0,0,6,still looking job much tas earn
80,ham,sorry ill later,0,4,22,0,0,0,0,0,0,sorry ill later
81,ham,k ah,0,9,32,0,1,0,0,0,4,k ah
82,ham,way home hi hi,0,10,32,0,0,0,0,0,5,way home hi hi
83,ham,place man,0,9,36,0,0,0,0,0,6,place man
84,ham,yup next stop,0,3,14,0,0,0,0,0,0,yup next stop
85,ham,later network urgnt sms,0,11,55,0,1,0,0,0,3,later network urgnt sms
86,ham,real getting yo need t kets one jacket done already used multis,0,26,121,1,2,0,0,0,9,real getting yo need t kets one jacket done already used multis
87,ham,yes started send requests make pain came back back bed double coins factory gotta cash nitros,0,31,144,0,2,0,1,0,11,yes started send requests make pain came back back bed double coins factory gotta cash nitros
88,ham,really still tonight babe,0,9,42,0,0,0,0,0,4,really still tonight babe
89,ham,ela kanoil download come wen free,0,7,41,0,0,0,1,0,0,ela kanoi l download come wen free
90,ham,yeah don‘t stand close tho you‘ll catch something,0,10,58,0,0,2,0,0,1,yeah don‘t stand close tho you ‘ll catch something
91,ham,sorry pain meet another night spent late afternoon casualty means havent done stuff42moro includes time sheets sorry,0,40,195,0,1,0,0,0,19,sorry pain meet another night spent late afternoon casualty means havent done stuff 42moro includes time sheets sorry
92,ham,smile pleasure smile pain smile trouble pours like rain smile sum1 hurts smile becoz someone still loves smiling,0,26,141,0,2,2,0,0,5,smile pleasure smile pain smile trouble pours like rain smile sum1 hurts smile becoz someone still loves smiling
93,spam,please customer serv representative 0800 169 6031 10am9pm guaranteed 1000 cash 5000 prize,1,23,137,3,1,1,2,0,8,please customer serv representative 0800 169 6031 10am9pm guaranteed 1000 cash 5000 prize
94,ham,havent planning buy later check already lido got 530 show afternoon finish work already,0,20,107,1,2,0,0,0,3,havent planning buy later check already lido got 530 show afternoon finish work already
95,spam,free ringtone waiting collected simply password mix 85069 verify usher britney fml po box 5249 mk17 92h 450ppw 16,1,29,158,2,5,0,1,0,7,free ringtone waiting collected simply password mix 85069 verify usher britney fml po box 5249 mk17 92h 450ppw 16
96,ham,watching telugu moviewat abt,0,5,33,0,0,0,0,0,0,watching telugu moview at abt
97,ham,finish loads loans pay,0,12,51,0,0,0,0,0,6,finish loads loans pay
98,ham,hi wk hols yes bit run forgot hairdressers appointment four need home and shower beforehand cause prob,0,38,178,0,0,1,0,0,15,hi wk hols yes bit run forgot hairdressers appointment four need home and shower beforehand cause prob
99,ham,cup coffee animation,0,7,31,0,1,0,0,0,2,cup coffee animation
100,ham,please anymore nothing else say,0,11,57,0,1,0,0,0,4,please anymore nothing else say
101,ham,okay name pr long legal wen p k ave x ams xx,0,21,81,0,2,1,0,0,5,okay name pr long legal wen p k ave x ams xx
102,ham,still looking car buy gone 4the driving test yet,0,16,76,0,0,0,0,0,5,still looking car buy gone 4the driving test yet
103,ham,per request melle melle oru minnaminunginte nurungu vettam set callertune callers press 9 copy friends callertune,0,26,160,0,0,0,0,0,9,per request melle melle oru minnaminunginte nurungu vettam set callertune callers press 9 copy friends callertune
104,ham,wow youre right didnt mean guess gave boston men changed search location nyc something changed cuz signin page still says boston,0,36,183,0,2,1,0,0,13,wow youre right didnt mean guess gave boston men changed search location nyc something changed cuz signin page still says boston
105,ham,umma life vava umma love lot dear,0,10,44,0,0,0,0,0,3,umma life vava umma love lot dear
106,ham,thanks lot wishes birthday thanks making birthday truly memorable,0,17,95,0,0,0,0,0,8,thanks lot wishes birthday thanks making birthday truly memorable
107,ham,aight ill hit cash,0,10,43,0,1,0,1,0,4,aight ill hit cash
108,ham,would ip address test considering computer isnt minecraft server,0,14,82,0,0,0,0,0,5,would ip address test considering computer isnt mine craft server
109,ham,know grumpy old people mom like better lying always one play jokes,0,24,115,0,2,1,0,0,8,know grumpy old people mom like better lying always one play jokes
110,ham,worry guess hes busy,0,6,30,0,1,0,0,0,0,worry guess hes busy
111,ham,plural noun research,0,8,40,0,0,0,0,0,4,plural noun research
112,ham,going dinnermsg,0,5,31,0,0,0,0,0,2,going dinnermsg
113,ham,with cos like try new things scared dun like mah cos said loud,0,24,96,1,0,0,0,0,5,with cos like try new things scared dun like mah cos said loud
114,spam,gent trying contact last weekends draw shows 1000 prize guaranteed 09064012160 claim code k52 valid 12hrs 150ppm,1,27,158,0,3,1,1,0,6,gent trying contact last weekends draw shows 1000 prize guaranteed 09064012160 claim code k52 valid 12hrs 150ppm
115,ham,wa openin sentence formal anyway fine juz tt eatin much and puttin weighthaha anythin special happened,0,24,143,0,0,0,0,0,3,wa openin sentence formal anyway fine juz tt eatin much and puttin weight haha anythin special happened
116,ham,entered cabin pa said happy bday boss felt special askd lunch lunch invited apartment went,0,32,156,1,3,2,0,0,7,entered cabin pa said happy bday boss felt special askd lunch lunch invited apartment went
117,spam,winner specially selected receive 1000 holiday flights inc speak live operator claim 0871277810910pmin 18,1,28,152,2,1,0,1,0,8,winner specially selected receive 1000 holiday flights inc speak live operator claim 08 71 27 78 10 91 0pmin 18
118,ham,goodo yes must speak friday eggpotato ratio tortilla needed,0,13,72,0,0,2,0,0,2,goodo yes must speak friday egg potato ratio tortilla needed
119,ham,hmmmy uncle informed hes paying school directly pls buy food,0,15,86,0,0,0,0,0,4,hmmmy uncle informed hes paying school directly pls buy food
120,spam,private 2004 account statement 07742676969 shows 786 unredeemed bonus points claim 08719180248 identifier code 45239 expires,1,20,144,5,1,1,0,0,1,private 2004 account statement 07742676969 shows 786 unredeemed bonus points claim 08719180248 identifier code 45239 expires
121,spam,urgent mobile awarded 2000 bonus caller prize 5903 final try contact landline 09064019788 box42wr29c 150ppm,1,26,156,1,4,2,1,0,6,urgent mobile awarded 2000 bonus caller prize 59 03 final try contact landline 09 06 40 19 78 8 box42 wr29 c 150ppm
122,ham,new address applespairsall malarky,0,8,53,0,0,0,0,0,4,new address apples pairs all malarky
123,spam,todays voda numbers ending 7548 selected receive 350 award match please 08712300220 quoting claim code 4041 standard rates app,1,27,156,3,0,0,0,0,6,todays voda numbers ending 75 48 selected receive 350 award match please 08712300220 quoting claim code 40 41 standard rates app
124,ham,going sao mu today done 12,0,14,52,1,1,0,0,0,5,going sao mu today done 12
125,ham,pred t wat time üll finish buying,0,7,38,0,1,0,0,0,0,pred t wat time üll finish buying
126,ham,good stuff,0,4,20,0,0,0,0,0,1,good stuff
127,ham,knowyetunde hasnt sent money yet sent bother sending involve anything shouldnt imposed anything first place apologise,0,46,244,0,2,0,0,0,24,know yetun de hasnt sent money yet sent bother sending involve anything shouldnt imposed anything first place apologise
128,ham,room,0,5,22,0,0,0,0,0,3,room
129,ham,hey girl are u hope are well del are bak long time c give sum time lucyxx,0,27,107,0,26,2,0,0,0,hey girl are u hope are well del are bak long time c give sum time lucyxx
130,ham,kkhow much cost,0,5,28,0,0,0,0,0,2,kkhow much cost
131,ham,home,0,2,9,0,0,0,0,0,0,home
132,ham,dear tmorrowpls accomodate,0,5,39,0,0,0,0,0,1,dear tmorrowp ls accomodate
133,ham,first answer question,0,4,25,0,0,0,0,0,1,first answer question
134,spam,sunshine quiz wkly q win top sony dvd player know country algarve ansr 82277 150 sptyrone,1,25,125,0,2,1,1,0,6,sunshine quiz wkly q win top sony dvd player know country algarve ansr 82277 150 sptyrone
135,spam,want laid tonight want real dogging locations sent direct ur mob join uks largest dogging network bt txting gravel 69888 nt ec2a 31pmsg150p,1,28,162,2,1,1,0,0,2,want laid tonight want real dogging locations sent direct ur mob join uks largest dogging network bt txting gravel 69888 nt ec2a 31pmsg150p
136,ham,haf msn yijuehotmailcom,0,6,38,0,1,0,0,2,1,haf msn yijue hot mail com
137,ham,meet,0,8,34,0,0,0,0,0,3,meet
138,ham,check rooms befor activities,0,9,46,0,1,0,0,0,2,check rooms befor activities
139,spam,youll rcv msgs chat svc free hardcore serv es 69988 nothing must age verify yr network try,1,32,155,1,2,0,1,0,7,youll rcv msgs chat svc free hardcore serv es 6 99 88 nothing must age verify yr network try
140,ham,got c lazy type forgot lect saw pouch like v n,0,20,85,0,3,0,0,0,5,got c lazy type forgot lect saw pouch like v n
141,ham,k youre way,0,8,33,0,1,0,0,0,5,k youre way
142,ham,sir waiting mail,0,5,27,0,0,0,0,0,2,sir waiting mail
143,ham,swt thought nver tired little things lovable persons cozsomtimes little things occupy biggest part hearts gud ni8,0,26,156,1,1,0,0,0,6,swt thought nver tired little things lovable persons coz somtimes little things occupy biggest part hearts gud ni8
144,ham,know pls open back,0,10,42,0,1,0,0,0,3,know pls open back
145,ham,yes ya dot,0,7,25,0,0,0,0,0,3,yes ya dot
146,ham,whats staff name taking class us,0,10,48,0,0,0,0,0,4,whats staff name taking class us
147,spam,freemsg havent replied randy sexy female live local luv hear netcollex ltd 08700621170150p per msg reply stop end,1,29,159,0,0,0,1,0,8,freemsg havent replied randy sexy female live local luv hear netcollex ltd 08700621170150p per msg reply stop end
148,ham,ummmawill check inour life begin qatar pls pray hard,0,15,84,0,0,0,0,0,5,ummma will check in our life begin qatar pls pray hard
149,ham,ki deleted contact,0,6,33,0,0,0,0,0,2,ki deleted contact
150,ham,sindu got job birla soft,0,7,30,0,0,0,0,0,1,sindu got job birla soft
151,ham,wine flowing nevering,0,9,45,0,0,0,0,0,4,wine flowing never ing
152,ham,yup thk cine better cos need plaza mah,0,15,59,2,0,0,0,0,4,yup thk cine better cos need plaza mah
153,ham,typ al reply,0,4,25,0,0,0,0,0,0,typ al reply
154,ham,per request melle melle oru minnaminunginte nurungu vettam set callertune callers press 9 copy friends callertune,0,26,160,0,0,0,0,0,9,per request melle melle oru minnaminunginte nurungu vettam set callertune callers press 9 copy friends callertune
155,ham,everywhere dirt floor windows even shirt sometimes open mouth comes flowing dream world without half chores time joy lots tv shows ill guess like things must exist like rain hail mist time done become one,0,80,384,0,2,0,0,0,35,everywhere dirt floor windows even shirt sometimes open mouth comes flowing dream world without half chores time joy lots tv shows ill guess like things must exist like rain hail mist time done become one
156,ham,aaooooright work,0,5,28,0,0,0,0,0,3,aaooo oright work
157,ham,leaving house,0,5,27,0,0,0,0,0,1,leaving house
158,ham,hello love interview today happy good boy think meare missing,0,33,157,0,0,0,0,0,15,hello love interview today happy good boy think meare missing
159,spam,customer serv annoncement new years delivery waiting please 07046744435 arrange delivery,1,19,124,1,0,0,0,0,5,customer serv annoncement new years delivery waiting please 07 04 67 44 43 5 arrange delivery
160,spam,winner specially selected receive 1000 cash holiday flights inc speak live operator claim 0871277810810,1,27,145,3,1,0,2,0,8,winner specially selected receive 1000 cash holiday flights inc speak live operator claim 0871277810810
161,ham,keep safe need miss already envy everyone sees real life,0,24,115,0,3,0,0,0,11,keep safe need miss already envy everyone sees real life
162,ham,new car house parentsi new job hand,0,13,64,0,0,0,0,0,6,new car house parentsi new job hand
163,ham,love excited day spend make happy,0,19,85,0,0,0,0,0,8,love excited day spend make happy
164,spam,pls stop bootydelious 32f inviting friend reply yes434 no434 wwwsmsacubootydelious stop send stop frnd 62468,1,24,152,1,8,0,0,0,7,pls stop booty delious 32f inviting friend reply yes4 34 no4 34 www smsacu booty delious stop send stop frnd 62468
165,spam,bangbabes order way receive serv msg download content goto wap bangb tv mobile internetserv menu,1,30,155,1,5,0,0,0,6,bang babes order way receive serv msg download content goto wap bangb tv mobile internet serv menu
166,ham,place points cultures module already,0,10,51,0,1,0,0,0,2,place points cultures module already
167,spam,urgent trying contact last weekends draw shows 900 prize guaranteed 09061701939 claim code s89 valid 12hrs,1,27,156,0,3,1,2,0,8,urgent trying contact last weekends draw shows 900 prize guaranteed 09 06 17 01 93 9 claim code s89 valid 12hrs
168,ham,hi frnd best way avoid missunderstding wit beloved ones,0,13,74,0,0,0,0,0,4,hi frnd best way avoid miss understding wit beloved ones
169,ham,great escape fancy bridge needs lager tomo,0,14,67,0,1,0,0,0,4,great escape fancy bridge needs lager tomo
170,ham,yes completely formclark also utter waste,0,10,59,0,0,0,0,0,3,yes completely formclark also utter waste
171,ham,sir need axis bank account bank address,0,10,50,0,3,0,0,0,2,sir need axis bank account bank address
172,ham,hmmm thk sure got time hop ard ya free abt muz discuss liao,0,21,94,1,0,0,1,0,3,hmmm thk sure got time hop ard ya free abt muz discuss liao
173,ham,time coming later,0,7,33,0,0,0,0,0,2,time coming later
174,ham,bloody hell cant believe forgot surname mr ill give clue spanish begins,0,22,105,0,0,0,0,0,6,bloody hell cant believe forgot surname mr ill give clue spanish begins
175,ham,well gonna finish bath goodfine night,0,11,61,0,0,0,0,0,2,well gonna finish bath good fine night
176,ham,let know youve got money carlos make,0,14,65,0,0,0,0,0,7,let know youve got money carlos make
177,ham,still going mall,0,6,26,0,1,0,0,0,2,still going mall
178,ham,turns friends staying whole show wont back til feel free ahead smoke worth,0,31,146,0,0,0,1,0,12,turns friends staying whole show wont back til feel free ahead smoke worth
179,ham,doesnt reply let know log,0,16,66,0,0,0,0,0,8,doesnt reply let know log
180,ham,hi spoke maneesha v wed like know satisfied experience reply toll free yes,0,25,126,0,2,1,1,0,10,hi spoke maneesha v wed like know satisfied experience reply toll free yes
181,ham,lifted hopes offer money need especially end month approaches hurts studying anyways gr8 weekend,0,31,159,0,1,0,0,0,15,lifted hopes offer money need especially end month approaches hurts studying anyways gr8 weekend
182,ham,lol trust,0,6,23,0,1,0,0,0,1,lol trust
183,ham,gentleman treat dignity respect,0,13,65,0,1,0,0,0,7,gentleman treat dignity respect
184,ham,guys close,0,5,24,0,0,0,0,0,1,guys close
185,ham,going nothing greatbye,0,4,26,0,0,0,0,0,1,going nothing great bye
186,ham,hello handsome finding job lazy working towards getting back net mummy wheres boytoy miss,0,32,152,0,0,1,0,0,9,hello handsome finding job lazy working towards getting back net mummy wheres boytoy miss
187,ham,haha awesome minute,0,7,34,0,0,0,0,0,4,haha awesome minute
188,spam,please customer serv representative freephone 0808 145 4742 9am11pm guaranteed 1000 cash 5000 prize,1,24,147,3,2,1,2,0,8,please customer serv representative freephone 0808 145 4742 9am11pm guaranteed 1000 cash 5000 prize
189,ham,got xmas radio times,0,13,55,0,0,0,0,0,6,got xmas radio times
190,ham,jus reached home bathe first sis using net tell finishes k,0,19,88,0,2,0,0,0,3,jus reached home bathe first sis using net tell finishes k
191,spam,unique enough find 30th august wwwareyouuniquecouk,1,10,72,0,0,0,0,2,3,unique enough find 30th august wwware you uniquec ouk
192,ham,sorry ive joined league people keep touch mean great deal friend times even great personal cost great week,0,38,185,0,0,0,0,0,14,sorry ive joined league people keep touch mean great deal friend times even great personal cost great week
193,ham,hi finally completed course,0,6,37,0,0,0,0,0,2,hi finally completed course
194,ham,stop however suggest stays someone able give ors every stool,0,22,111,0,1,0,0,0,9,stop however suggest stays someone able give ors every stool
195,ham,hope youve settled new school year wishin gr8 day,0,19,92,0,0,0,0,0,8,hope youve settled new school year wishin gr8 day
196,ham,gud mrng dear hav n day,0,7,28,0,0,0,0,0,1,gud mrng dear hav n day
197,ham,got persons story,0,6,28,0,0,0,0,0,1,got persons story
198,ham,hamster dead hey tmr meet 1pm orchard mrt,0,15,64,0,0,0,0,0,6,hamster dead hey tmr meet 1pm orchard mrt
199,ham,hi kate evening hope tomorrow bit bloody babyjontet back xxx,0,30,131,0,1,1,0,0,14,hi kate evening hope tomorrow bit bloody babyjon tet back xxx
200,ham,found enc,0,9,40,0,1,0,0,0,2,found enc
201,ham,sent bucks,0,7,28,0,1,0,0,0,1,sent bucks
202,ham,hello darlin ive finished college u finish love kate xxx,0,18,84,0,0,0,0,0,6,hello darlin ive finished college u finish love kate xxx
203,ham,account refilled successfully inr ltdecimalgt keralacircle prepaid account balance rs ltdecimalgt transaction id kr,0,28,174,0,3,0,0,0,5,account refilled successfully inr ltdecimalgt keralacircle prepaid account balance rs ltdecimalgt transaction id kr
204,ham,goodmorning sleeping ga,0,3,24,0,0,0,0,0,0,goodmorning sleeping ga
205,ham,alter 11,0,7,25,1,1,0,0,0,2,alter 11
206,ham,say like dat dun buy er sson oso cannot oredi lar,0,13,63,0,1,0,0,0,2,say like dat dun buy er sson oso cannot oredi lar
207,ham,entered cabin pa said happy bday boss felt special askd lunch lunch invited apartment went,0,32,156,1,3,2,0,0,7,entered cabin pa said happy bday boss felt special askd lunch lunch invited apartment went
208,ham,aight yo dats straight dogg,0,5,28,0,0,0,0,0,0,aight yo dats straight dogg
209,ham,please give us connection today ltdecimalgt refund bill,0,15,86,0,0,0,0,0,4,please give us connection today ltdecimalgt refund bill
210,ham,shoot big loads ready,0,9,39,0,0,1,0,0,2,shoot big loads ready
211,ham,whats bruv hope great break rewarding semester,0,14,73,0,0,0,0,0,6,whats bruv hope great break rewarding semester
212,ham,home always chat,0,6,26,0,0,0,0,0,3,home always chat
213,ham,kkgoodstudy well,0,2,23,0,0,0,0,0,0,kkgood study well
214,ham,yup noe leh,0,5,23,0,0,0,0,0,0,yup noe leh
215,ham,sounds great home,0,6,31,0,0,1,0,0,1,sounds great home
216,ham,finally match heading towards draw pred tion,0,9,58,0,0,0,0,0,3,finally match heading towards draw pred tion
217,ham,tired havent slept well past nights,0,9,48,0,1,0,0,0,3,tired havent slept well past nights
218,ham,easy ahsen got selected means good,0,7,41,0,0,0,0,0,1,easy ahsen got selected means good
219,ham,take exam march 3,0,8,32,1,1,0,0,0,3,take exam march 3
